カテゴリ,難易度,日本語問題,英語模範回答
雑談,中級,長時間移動の疲れはとても興味深いですね。,fatigue from the long trip sounds very interesting.
雑談,中級,次回の訪問はとても興味深いですね。,your next visit sounds very interesting.
雑談,中級,共通の関心事はとても興味深いですね。,our common interests sounds very interesting.
雑談,中級,最近のニュースはとても興味深いですね。,recent news sounds very interesting.
雑談,中級,最近の仕事の状況について、日本との違いを感じますか。,Do you feel any differences from Japan regarding how work has been recently?
雑談,中級,こちらの研究所の雰囲気について、日本との違いを感じますか。,Do you feel any differences from Japan regarding the atmosphere of our research center?
雑談,中級,日本での滞在について、日本との違いを感じますか。,Do you feel any differences from Japan regarding your stay in Japan?
雑談,中級,会議以外の予定について、日本との違いを感じますか。,Do you feel any differences from Japan regarding your plans outside the meeting?
雑談,中級,現地のおすすめについて、日本との違いを感じますか。,Do you feel any differences from Japan regarding local recommendations?
雑談,中級,文化の違いについて、日本との違いを感じますか。,Do you feel any differences from Japan regarding cultural differences?
雑談,中級,長時間移動の疲れについて、日本との違いを感じますか。,Do you feel any differences from Japan regarding fatigue from the long trip?
雑談,中級,次回の訪問について、日本との違いを感じますか。,Do you feel any differences from Japan regarding your next visit?
雑談,中級,共通の関心事について、日本との違いを感じますか。,Do you feel any differences from Japan regarding our common interests?
雑談,中級,最近のニュースについて、日本との違いを感じますか。,Do you feel any differences from Japan regarding recent news?
雑談,中級,最近の仕事の状況について、何かおすすめはありますか。,Do you have any recommendations about how work has been recently?
雑談,中級,こちらの研究所の雰囲気について、何かおすすめはありますか。,Do you have any recommendations about the atmosphere of our research center?
雑談,中級,日本での滞在について、何かおすすめはありますか。,Do you have any recommendations about your stay in Japan?
雑談,中級,会議以外の予定について、何かおすすめはありますか。,Do you have any recommendations about your plans outside the meeting?
雑談,中級,現地のおすすめについて、何かおすすめはありますか。,Do you have any recommendations about local recommendations?
雑談,上級,仕事と研究のバランスについて伺うと、文化の違いがよく分かって興味深いです。,Hearing about the balance between work and research is interesting because it shows cultural differences clearly.
雑談,上級,国際共同研究の面白さについて伺うと、文化の違いがよく分かって興味深いです。,Hearing about what makes international collaboration interesting is interesting because it shows cultural differences clearly.
雑談,上級,異なる文化でのコミュニケーションについて伺うと、文化の違いがよく分かって興味深いです。,Hearing about communication across different cultures is interesting because it shows cultural differences clearly.
雑談,上級,長期的な協力関係について伺うと、文化の違いがよく分かって興味深いです。,Hearing about a long-term collaborative relationship is interesting because it shows cultural differences clearly.
雑談,上級,研究テーマ以外の関心について伺うと、文化の違いがよく分かって興味深いです。,Hearing about interests outside the research topic is interesting because it shows cultural differences clearly.
雑談,上級,現地で印象に残ったことについて伺うと、文化の違いがよく分かって興味深いです。,Hearing about what left an impression during your stay is interesting because it shows cultural differences clearly.
雑談,上級,次の共同テーマにつながる雑談について伺うと、文化の違いがよく分かって興味深いです。,Hearing about small talk that may lead to the next collaboration topic is interesting because it shows cultural differences clearly.
雑談,上級,相手の専門分野への関心について伺うと、文化の違いがよく分かって興味深いです。,Hearing about interest in the other person's field is interesting because it shows cultural differences clearly.
雑談,上級,仕事と研究のバランスは、今後の交流を深める良いきっかけになりそうです。,the balance between work and research could be a good opportunity to deepen our future interactions.
雑談,上級,国際共同研究の面白さは、今後の交流を深める良いきっかけになりそうです。,what makes international collaboration interesting could be a good opportunity to deepen our future interactions.
雑談,上級,異なる文化でのコミュニケーションは、今後の交流を深める良いきっかけになりそうです。,communication across different cultures could be a good opportunity to deepen our future interactions.
雑談,上級,長期的な協力関係は、今後の交流を深める良いきっかけになりそうです。,a long-term collaborative relationship could be a good opportunity to deepen our future interactions.
雑談,上級,研究テーマ以外の関心は、今後の交流を深める良いきっかけになりそうです。,interests outside the research topic could be a good opportunity to deepen our future interactions.
雑談,上級,現地で印象に残ったことは、今後の交流を深める良いきっかけになりそうです。,what left an impression during your stay could be a good opportunity to deepen our future interactions.
雑談,上級,次の共同テーマにつながる雑談は、今後の交流を深める良いきっかけになりそうです。,small talk that may lead to the next collaboration topic could be a good opportunity to deepen our future interactions.
雑談,上級,相手の専門分野への関心は、今後の交流を深める良いきっかけになりそうです。,interest in the other person's field could be a good opportunity to deepen our future interactions.
雑談,上級,仕事と研究のバランスについて、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from the balance between work and research, even outside the research context."
雑談,上級,国際共同研究の面白さについて、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from what makes international collaboration interesting, even outside the research context."
雑談,上級,異なる文化でのコミュニケーションについて、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from communication across different cultures, even outside the research context."
雑談,上級,長期的な協力関係について、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from a long-term collaborative relationship, even outside the research context."
雑談,上級,研究テーマ以外の関心について、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from interests outside the research topic, even outside the research context."
雑談,上級,現地で印象に残ったことについて、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from what left an impression during your stay, even outside the research context."
雑談,上級,次の共同テーマにつながる雑談について、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from small talk that may lead to the next collaboration topic, even outside the research context."
雑談,上級,相手の専門分野への関心について、研究以外の面でも学ぶことが多いです。,"There is a lot to learn from interest in the other person's field, even outside the research context."
雑談,上級,仕事と研究のバランスの話題は、会議前の雰囲気づくりにも良いですね。,Talking about the balance between work and research is also good for creating a relaxed atmosphere before the meeting.
雑談,上級,国際共同研究の面白さの話題は、会議前の雰囲気づくりにも良いですね。,Talking about what makes international collaboration interesting is also good for creating a relaxed atmosphere before the meeting.
雑談,上級,異なる文化でのコミュニケーションの話題は、会議前の雰囲気づくりにも良いですね。,Talking about communication across different cultures is also good for creating a relaxed atmosphere before the meeting.
雑談,上級,長期的な協力関係の話題は、会議前の雰囲気づくりにも良いですね。,Talking about a long-term collaborative relationship is also good for creating a relaxed atmosphere before the meeting.
雑談,上級,研究テーマ以外の関心の話題は、会議前の雰囲気づくりにも良いですね。,Talking about interests outside the research topic is also good for creating a relaxed atmosphere before the meeting.
雑談,上級,現地で印象に残ったことの話題は、会議前の雰囲気づくりにも良いですね。,Talking about what left an impression during your stay is also good for creating a relaxed atmosphere before the meeting.
